MS Zoning,Street,Alley,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Sale Type,SalePrice
RL,Pave,NA,Mitchel,Norm,1Fam,1Story,5,1991,1991,Gable,HdBoard,HdBoard,0.0,TA,TA,PConc,Gd,TA,No,BLQ,55.0,1527.0,1582.0,GasA,TA,Y,SBrkr,1595,0,1595,2,2,TA,5,Typ,0,NA,Detchd,Unf,2.0,672.0,TA,TA,Y,0,0,COD,152000
RL,Pave,NA,SawyerW,Norm,1Fam,2Story,7,2005,2005,Gable,VinylSd,VinylSd,172.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,891.0,891.0,GasA,Ex,Y,SBrkr,891,795,1686,2,3,Gd,8,Typ,0,NA,Attchd,Fin,2.0,462.0,TA,TA,Y,144,101,WD ,184000
RM,Pave,NA,Mitchel,Norm,Duplex,SFoyer,7,1997,1998,Gable,VinylSd,VinylSd,200.0,TA,Gd,PConc,Gd,Gd,Gd,GLQ,1309.0,35.0,1344.0,GasA,Ex,Y,SBrkr,1344,0,1344,2,2,TA,8,Typ,0,NA,Attchd,Fin,4.0,784.0,TA,TA,Y,0,0,WD ,206300
RL,Pave,NA,Mitchel,Norm,Duplex,1Story,5,1970,1970,Gable,Plywood,Plywood,0.0,TA,TA,CBlock,TA,TA,No,BLQ,149.0,1503.0,1652.0,GasA,TA,Y,SBrkr,1652,0,1652,2,4,TA,8,Typ,0,NA,2Types,Unf,3.0,928.0,TA,TA,Y,0,0,WD ,146500
RL,Pave,NA,NAmes,Norm,1Fam,1.5Fin,4,1956,1956,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,832.0,832.0,GasA,TA,Y,FuseA,832,505,1337,1,3,TA,5,Typ,0,NA,Attchd,Unf,1.0,263.0,TA,TA,Y,0,0,WD ,108000
RL,Pave,NA,NWAmes,Norm,1Fam,SLvl,7,1968,1992,Gable,MetalSd,MetalSd,143.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,570.0,570.0,GasA,Gd,Y,SBrkr,1222,698,1920,3,4,Gd,8,Typ,1,TA,Attchd,RFn,2.0,487.0,TA,TA,Y,0,98,WD ,170000
RM,Pave,NA,CollgCr,Norm,TwnhsE,1Story,6,2004,2004,Gable,VinylSd,VinylSd,205.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,662.0,186.0,848.0,GasA,Ex,Y,SBrkr,848,0,848,1,1,Gd,3,Typ,0,NA,Attchd,RFn,2.0,420.0,TA,TA,Y,140,0,WD ,145000
RL,Pave,NA,NPkVill,Norm,Twnhs,1Story,7,1975,1975,Gable,Plywood,Brk Cmn,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,435.0,0.0,1057.0,GasA,TA,Y,SBrkr,1055,0,1055,2,2,TA,4,Typ,1,Fa,Attchd,RFn,2.0,440.0,TA,TA,Y,0,27,WD ,123000
RL,Pave,NA,ClearCr,Norm,1Fam,1Story,6,1996,1997,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,1003.0,288.0,1291.0,GasA,Ex,Y,SBrkr,1291,0,1291,1,2,Gd,6,Typ,1,Gd,Attchd,Unf,2.0,431.0,TA,TA,Y,307,0,WD ,173000
RM,Pave,NA,OldTown,Norm,1Fam,1Story,6,1928,2003,Gable,VinylSd,VinylSd,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,0.0,624.0,624.0,GasA,Gd,Y,SBrkr,720,0,720,1,2,TA,5,Typ,0,NA,Detchd,Unf,2.0,484.0,TA,TA,Y,106,0,WD ,105900
RM,Pave,NA,MeadowV,Norm,Twnhs,SLvl,4,1973,1973,Gable,CemntBd,CmentBd,0.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,462.0,0.0,462.0,GasA,TA,Y,SBrkr,526,462,988,1,2,TA,5,Typ,0,NA,BuiltIn,Unf,1.0,297.0,TA,TA,Y,120,101,WD ,91000
RL,Pave,NA,Crawfor,Norm,1Fam,1.5Fin,5,1949,2005,Gable,BrkComm,Brk Cmn,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,312.0,248.0,1067.0,GasW,Fa,N,SBrkr,986,537,1523,2,3,Fa,7,Maj2,1,TA,Attchd,Unf,1.0,295.0,TA,TA,Y,0,0,WD ,158000
RL,Pave,NA,CollgCr,Norm,1Fam,2Story,7,2004,2004,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,864.0,864.0,GasA,Ex,Y,SBrkr,864,864,1728,2,3,Gd,7,Typ,0,NA,Attchd,RFn,2.0,572.0,TA,TA,Y,187,56,WD ,190000
RL,Pave,NA,Veenker,Norm,TwnhsE,1Story,8,1995,1995,Hip,BrkFace,BrkFace,0.0,Gd,TA,PConc,Gd,TA,Gd,LwQ,560.0,0.0,1230.0,GasA,Ex,Y,SBrkr,1239,0,1239,1,1,Gd,4,Typ,1,Fa,Attchd,Fin,2.0,477.0,TA,TA,Y,172,24,WD ,217500
RM,Pave,NA,IDOTRR,Norm,1Fam,1.5Fin,5,1958,1958,Gable,WdShing,Wd Shng,162.0,TA,TA,CBlock,TA,TA,No,ALQ,330.0,821.0,1151.0,GasA,Gd,Y,FuseA,1151,804,1955,2,4,TA,7,Typ,0,NA,Attchd,Fin,1.0,356.0,TA,TA,Y,0,0,WD ,165500
RL,Pave,NA,Crawfor,Norm,1Fam,2Story,7,1941,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,Rec,275.0,429.0,704.0,GasA,Ex,Y,SBrkr,860,704,1564,1,3,Fa,7,Typ,1,Gd,Attchd,Unf,1.0,234.0,TA,TA,Y,0,0,WD ,174500
RL,Pave,NA,Edwards,Norm,1Fam,SLvl,4,1954,1954,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,Ex,TA,Av,Unf,0.0,416.0,416.0,GasA,Gd,Y,FuseA,1204,0,1204,1,3,TA,6,Typ,0,NA,Basment,Unf,1.0,312.0,TA,TA,Y,0,0,WD ,100000
RL,Pave,NA,NAmes,Norm,1Fam,1Story,6,1958,1958,Hip,Wd Sdng,Wd Sdng,108.0,TA,TA,CBlock,TA,TA,No,ALQ,923.0,406.0,1329.0,GasA,TA,Y,SBrkr,1329,0,1329,1,3,Gd,6,Typ,0,NA,Attchd,Unf,1.0,312.0,TA,TA,Y,393,36,WD ,172000
RL,Pave,NA,CollgCr,Norm,1Fam,1Story,5,1975,1975,Hip,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,BLQ,330.0,102.0,864.0,GasA,TA,Y,SBrkr,879,0,879,1,3,TA,5,Typ,0,NA,Attchd,Unf,2.0,440.0,TA,TA,Y,0,80,Con,120000
RH,Pave,NA,SawyerW,Feedr,1Fam,1Story,4,1950,1950,Gable,Wd Sdng,AsbShng,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,0.0,721.0,721.0,GasA,Gd,Y,SBrkr,841,0,841,1,2,TA,4,Typ,0,NA,CarPort,Unf,1.0,294.0,TA,TA,N,250,0,WD ,82000
RL,Pave,NA,NAmes,Norm,1Fam,1.5Fin,6,1947,1950,Gable,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,784.0,784.0,GasA,Ex,Y,FuseA,900,412,1312,1,3,TA,6,Typ,0,NA,Detchd,Unf,2.0,649.0,TA,TA,Y,0,28,WD ,127000
RM,Pave,Grvl,OldTown,Norm,1Fam,2.5Unf,6,1917,1950,Gable,AsbShng,AsbShng,0.0,TA,TA,BrkTil,Gd,TA,No,Rec,319.0,416.0,735.0,OthW,Fa,N,SBrkr,1134,924,2058,1,3,TA,8,Typ,1,Gd,Detchd,Unf,2.0,396.0,Fa,Fa,P,0,0,WD ,129500
RL,Pave,NA,StoneBr,Norm,TwnhsE,1Story,8,1984,1984,Gable,HdBoard,HdBoard,0.0,Gd,TA,CBlock,Gd,TA,Av,GLQ,1036.0,184.0,1220.0,GasA,Gd,Y,SBrkr,1360,0,1360,1,1,Gd,4,Typ,1,Ex,Attchd,RFn,2.0,565.0,TA,TA,Y,63,0,COD,187500
RL,Pave,NA,CollgCr,Norm,1Fam,1Story,8,2002,2003,Hip,VinylSd,VinylSd,240.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1538.0,240.0,1778.0,GasA,Ex,Y,SBrkr,1786,0,1786,2,3,Gd,6,Typ,1,Gd,Attchd,RFn,3.0,715.0,TA,TA,Y,182,35,WD ,300000
RL,Pave,NA,NWAmes,Norm,1Fam,2Story,6,1971,1971,Gable,HdBoard,HdBoard,252.0,TA,TA,CBlock,TA,TA,No,Rec,416.0,409.0,825.0,GasA,Gd,Y,SBrkr,1097,896,1993,2,4,TA,8,Typ,1,Gd,Attchd,RFn,2.0,495.0,TA,TA,Y,0,66,WD ,190000
RL,Pave,NA,Edwards,Norm,1Fam,1.5Fin,4,1920,1950,Gambrel,MetalSd,MetalSd,0.0,Fa,Fa,BrkTil,TA,Fa,No,Unf,0.0,951.0,951.0,GasW,Fa,N,SBrkr,986,376,1362,2,4,TA,7,Typ,0,NA,Detchd,Unf,1.0,280.0,Fa,TA,P,0,0,WD ,96000
FV,Pave,NA,Somerst,Norm,1Fam,2Story,7,2006,2007,Gable,CemntBd,CmentBd,100.0,Gd,TA,PConc,Gd,TA,No,GLQ,812.0,280.0,1092.0,GasA,Ex,Y,SBrkr,1112,438,1550,2,2,Gd,7,Typ,0,NA,Attchd,Fin,2.0,438.0,TA,TA,Y,0,168,WD ,241000
RL,Pave,NA,Sawyer,RRAe,1Fam,1Story,5,1962,1962,Gable,HdBoard,HdBoard,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,1140.0,1140.0,GasA,TA,Y,SBrkr,1696,0,1696,1,3,TA,8,Min2,1,TA,Attchd,RFn,1.0,349.0,TA,TA,Y,0,30,WD ,143900
RM,Pave,NA,MeadowV,Norm,Twnhs,2Story,4,1970,1970,Gable,CemntBd,CmentBd,0.0,TA,TA,CBlock,TA,TA,No,Rec,408.0,138.0,546.0,GasA,TA,Y,SBrkr,546,546,1092,1,3,TA,5,Typ,0,NA,CarPort,Unf,1.0,286.0,TA,TA,Y,0,0,WD ,87550
RL,Pave,NA,NridgHt,Norm,TwnhsE,1Story,9,2005,2005,Hip,MetalSd,MetalSd,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456.0,1296.0,1752.0,GasA,Ex,Y,SBrkr,1752,0,1752,2,2,Ex,6,Typ,1,Gd,Attchd,RFn,2.0,576.0,TA,TA,Y,196,82,WD ,319900
RL,Pave,NA,StoneBr,Norm,1Fam,2Story,9,2006,2006,Hip,VinylSd,VinylSd,184.0,Gd,TA,PConc,Ex,Gd,Gd,GLQ,205.0,889.0,1094.0,GasA,Ex,Y,SBrkr,1102,1371,2473,2,4,Gd,11,Typ,1,Gd,BuiltIn,Fin,3.0,675.0,TA,TA,Y,246,39,New,356383
RL,Pave,NA,CollgCr,Norm,1Fam,1Story,9,2007,2007,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Ex,TA,No,Unf,0.0,1800.0,1800.0,GasA,Ex,Y,SBrkr,1800,0,1800,2,2,Ex,7,Typ,0,NA,Attchd,Fin,2.0,702.0,TA,TA,Y,288,136,WD ,239000
RL,Pave,NA,NoRidge,Norm,1Fam,2Story,7,1993,1994,Hip,VinylSd,VinylSd,320.0,Gd,TA,PConc,Gd,TA,Av,BLQ,228.0,0.0,1080.0,GasA,Ex,Y,SBrkr,1108,1089,2197,2,4,Gd,9,Typ,1,Gd,Attchd,Fin,3.0,783.0,TA,TA,Y,385,99,WD ,287500
RM,Pave,NA,OldTown,Feedr,1Fam,1.5Fin,5,1941,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,Rec,360.0,360.0,720.0,GasA,TA,Y,SBrkr,854,0,1382,1,2,TA,7,Typ,0,NA,Detchd,Unf,2.0,660.0,TA,TA,Y,237,0,WD ,128500
RL,Pave,NA,Gilbert,Norm,1Fam,2Story,7,2004,2004,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,847.0,847.0,GasA,Ex,Y,SBrkr,847,886,1733,2,3,Gd,7,Typ,1,Gd,BuiltIn,Fin,2.0,433.0,TA,TA,Y,144,48,WD ,185088
FV,Pave,NA,Somerst,Norm,1Fam,1Story,7,2008,2008,Hip,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,1402.0,1402.0,GasA,Ex,Y,SBrkr,1402,0,1402,2,3,Gd,7,Typ,0,NA,Attchd,RFn,2.0,625.0,TA,TA,Y,205,126,WD ,229800
RL,Pave,NA,Mitchel,Norm,1Fam,1Story,5,1984,1984,Gable,Plywood,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,ALQ,516.0,348.0,864.0,GasA,TA,Y,SBrkr,887,0,887,1,3,TA,5,Typ,0,NA,Attchd,RFn,1.0,288.0,TA,TA,Y,140,0,WD ,124500
RL,Pave,NA,NAmes,Feedr,1Fam,1Story,5,1968,1968,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,ALQ,758.0,293.0,1051.0,GasA,Gd,Y,SBrkr,1051,0,1051,1,3,TA,6,Typ,0,NA,Attchd,RFn,2.0,504.0,TA,TA,Y,0,0,WD ,142000
RL,Pave,NA,SWISU,Norm,1Fam,2Story,6,1920,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,PConc,TA,TA,No,BLQ,305.0,450.0,755.0,GasA,Ex,Y,SBrkr,755,755,1510,1,3,TA,6,Typ,0,NA,Detchd,Unf,1.0,216.0,TA,TA,Y,0,0,WD ,149000
RL,Pave,NA,NWAmes,Feedr,Duplex,1Story,5,1973,1973,Gable,Plywood,Plywood,564.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,1656.0,1656.0,GasA,TA,Y,SBrkr,1656,0,1656,2,4,TA,8,Typ,0,NA,Detchd,Unf,2.0,506.0,TA,TA,Y,0,211,WD ,135000
RL,Pave,NA,NPkVill,Norm,TwnhsE,1Story,6,1976,1976,Gable,Plywood,Plywood,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,120.0,958.0,1078.0,GasA,TA,Y,SBrkr,958,0,958,2,2,TA,5,Typ,1,TA,Attchd,RFn,2.0,440.0,TA,TA,Y,0,205,WD ,128000
RL,Pave,NA,NoRidge,Norm,1Fam,1Story,8,1992,1993,Hip,BrkFace,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1231.0,1969.0,3200.0,GasA,Ex,Y,SBrkr,3228,0,3228,3,4,Gd,10,Typ,1,Gd,Attchd,RFn,2.0,546.0,TA,TA,Y,264,75,WD ,430000
RL,Pave,NA,Sawyer,Norm,1Fam,1Story,5,1968,1968,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Rec,812.0,228.0,1040.0,GasA,TA,Y,SBrkr,1040,0,1040,1,3,TA,5,Typ,0,NA,Detchd,Fin,2.0,686.0,TA,TA,Y,188,0,WD ,145000
RL,Pave,NA,Crawfor,Norm,1Fam,1.5Fin,5,1910,2003,Gable,Wd Sdng,Wd Shng,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,661.0,661.0,GasA,Ex,Y,SBrkr,661,589,1250,2,3,TA,8,Typ,1,Gd,Detchd,Unf,2.0,552.0,TA,TA,Y,242,0,WD ,139000
RL,Pave,NA,NWAmes,Norm,1Fam,SLvl,6,1984,2003,Hip,VinylSd,VinylSd,74.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,585.0,585.0,GasA,Ex,Y,SBrkr,1140,728,1868,3,3,TA,7,Typ,1,TA,BuiltIn,Fin,2.0,477.0,TA,TA,Y,268,112,WD ,178000
RL,Pave,NA,NridgHt,PosN,1Fam,2Story,10,2005,2006,Hip,CemntBd,CmentBd,468.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1082.0,538.0,1620.0,GasA,Ex,Y,SBrkr,1632,1158,2790,2,4,Ex,10,Typ,1,Ex,BuiltIn,Fin,4.0,1150.0,TA,TA,Y,30,200,WD ,460000
RL,Pave,Pave,BrkSide,PosN,1Fam,2.5Unf,6,1916,1994,Gable,Wd Sdng,Wd Shng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,844.0,844.0,GasA,Gd,N,FuseA,1445,689,2134,2,5,Gd,10,Typ,0,NA,Detchd,Unf,2.0,441.0,TA,TA,Y,0,60,WD ,214500
RH,Pave,NA,SWISU,Norm,2fmCon,2Story,5,1916,1995,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,TA,TA,Mn,Unf,0.0,686.0,686.0,GasA,Gd,Y,SBrkr,948,980,1928,2,5,TA,10,Typ,0,NA,NA,NA,0.0,0.0,NA,NA,N,0,0,WD ,160000
RL,Pave,NA,Gilbert,RRNn,1Fam,2Story,7,1999,1999,Gable,VinylSd,VinylSd,298.0,Gd,TA,PConc,Gd,TA,No,ALQ,772.0,220.0,992.0,GasA,Ex,Y,SBrkr,1022,1038,2060,2,3,Gd,8,Typ,1,TA,BuiltIn,RFn,2.0,390.0,TA,TA,Y,0,0,WD ,214000
RM,Pave,Grvl,OldTown,Norm,1Fam,1.5Fin,6,1935,1998,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,901.0,901.0,GasA,Gd,Y,SBrkr,861,517,1378,1,3,Gd,6,Typ,0,NA,Detchd,Unf,1.0,162.0,Fa,Fa,P,54,0,WD ,128900
RL,Pave,NA,Mitchel,Norm,2fmCon,1Story,4,1961,1975,Gable,MetalSd,MetalSd,149.0,TA,Gd,CBlock,TA,TA,Av,BLQ,1159.0,90.0,1249.0,GasA,Ex,Y,SBrkr,1622,0,1622,1,3,TA,7,Typ,1,TA,2Types,Fin,4.0,1356.0,TA,TA,Y,439,0,WD ,168000
FV,Pave,NA,Somerst,Norm,1Fam,2Story,8,2007,2007,Hip,WdShing,Wd Shng,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,745.0,210.0,955.0,GasA,Ex,Y,SBrkr,955,925,1880,2,3,Ex,8,Typ,1,Gd,Attchd,Fin,3.0,880.0,TA,TA,Y,168,127,New,310013
RL,Pave,NA,StoneBr,Norm,TwnhsE,1Story,8,1986,1986,Gable,HdBoard,HdBoard,0.0,Gd,TA,CBlock,Gd,TA,No,Unf,0.0,1074.0,1074.0,GasA,Ex,Y,SBrkr,1088,0,1088,1,2,Gd,5,Typ,0,NA,Attchd,RFn,2.0,461.0,TA,TA,Y,0,74,WD ,170000
RL,Pave,NA,NAmes,Norm,1Fam,1Story,5,1959,1959,Gable,BrkFace,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,LwQ,369.0,671.0,1040.0,GasA,TA,Y,FuseA,1040,0,1040,1,3,TA,6,Typ,0,NA,Attchd,RFn,1.0,286.0,TA,TA,Y,140,0,WD ,133700
RL,Pave,NA,Crawfor,Norm,1Fam,2Story,6,1923,1996,Hip,Wd Sdng,Wd Sdng,0.0,TA,Gd,PConc,TA,Fa,No,Unf,0.0,602.0,602.0,GasA,TA,Y,SBrkr,900,602,1502,1,3,Gd,7,Typ,2,TA,Detchd,Unf,1.0,180.0,TA,TA,Y,96,0,WD ,165000
RM,Pave,NA,BrDale,Norm,TwnhsE,2Story,6,1971,1971,Gable,HdBoard,HdBoard,604.0,TA,TA,CBlock,TA,TA,No,ALQ,358.0,125.0,483.0,GasA,TA,Y,SBrkr,483,504,987,1,2,TA,5,Typ,0,NA,Detchd,Unf,1.0,264.0,TA,TA,Y,0,0,WD ,89500
RL,Pave,NA,NAmes,Norm,2fmCon,SLvl,6,1958,1958,Hip,HdBoard,HdBoard,105.0,TA,Fa,CBlock,TA,TA,Gd,ALQ,513.0,75.0,588.0,GasA,TA,Y,SBrkr,1095,0,1095,1,2,TA,6,Typ,0,NA,Attchd,RFn,1.0,264.0,TA,TA,Y,0,0,ConLD,140000
RM,Pave,NA,Edwards,Norm,Twnhs,2Story,7,2004,2004,Gable,VinylSd,VinylSd,50.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,970.0,970.0,GasA,Ex,Y,SBrkr,970,739,1709,2,3,Gd,7,Maj1,0,NA,Detchd,Unf,2.0,380.0,TA,TA,Y,0,40,WD ,134000
RL,Pave,NA,SawyerW,Norm,1Fam,2Story,6,1992,1993,Gable,HdBoard,HdBoard,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,758.0,78.0,836.0,GasA,Ex,Y,SBrkr,844,887,1731,2,3,Gd,7,Typ,0,NA,Attchd,RFn,2.0,462.0,TA,TA,Y,307,85,WD ,248500
RL,Pave,NA,Sawyer,Norm,1Fam,SLvl,4,1965,2001,Gable,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,Gd,Av,GLQ,648.0,0.0,648.0,GasA,Ex,Y,SBrkr,960,0,960,0,0,TA,3,Typ,0,NA,Attchd,Unf,1.0,364.0,TA,TA,Y,88,0,WD ,145000
RL,Pave,NA,NWAmes,RRAn,1Fam,2Story,6,1975,1975,Gable,VinylSd,VinylSd,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,550.0,163.0,713.0,GasA,TA,Y,SBrkr,811,741,1552,2,3,TA,6,Typ,1,TA,Attchd,RFn,2.0,434.0,TA,TA,Y,209,208,WD ,179900
RL,Pave,NA,Somerst,Norm,1Fam,1Story,8,2006,2007,Gable,VinylSd,VinylSd,428.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,1795.0,1795.0,GasA,Ex,Y,SBrkr,1795,0,1795,2,2,Gd,7,Typ,1,Gd,Attchd,RFn,3.0,895.0,TA,TA,Y,0,49,New,147000
RL,Pave,NA,Mitchel,Norm,1Fam,2Story,5,1991,1991,Gable,HdBoard,HdBoard,0.0,TA,TA,PConc,Gd,TA,No,Rec,458.0,166.0,624.0,GasA,Gd,Y,SBrkr,624,650,1274,1,3,TA,6,Typ,0,NA,Detchd,Unf,2.0,576.0,TA,TA,Y,22,0,WD ,136000
RM,Pave,NA,BrkSide,Norm,1Fam,1.5Fin,6,1940,1950,Gable,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,TA,No,LwQ,264.0,308.0,572.0,GasA,Ex,Y,FuseA,848,348,1196,1,3,TA,6,Typ,2,Gd,Detchd,Unf,2.0,576.0,TA,TA,Y,0,0,WD ,128000
RL,Pave,NA,Sawyer,Norm,1Fam,1Story,4,1946,2001,Gable,MetalSd,MetalSd,0.0,TA,Gd,CBlock,Fa,TA,No,Unf,0.0,560.0,560.0,GasA,Ex,Y,FuseA,704,0,704,1,2,Fa,4,Typ,0,NA,CarPort,Unf,1.0,220.0,TA,TA,Y,0,0,WD ,88750
RL,Pave,NA,NAmes,Norm,1Fam,1Story,5,1955,1955,Gable,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,TA,No,Rec,648.0,324.0,972.0,GasA,TA,Y,SBrkr,972,0,972,1,3,TA,5,Typ,0,NA,Attchd,Unf,1.0,305.0,TA,TA,Y,0,0,WD ,122500
RL,Pave,NA,NAmes,Artery,1Fam,1.5Fin,6,1948,1950,Gable,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,912.0,912.0,GasA,TA,Y,SBrkr,912,546,1458,1,3,TA,6,Typ,1,Gd,Attchd,Unf,1.0,330.0,TA,TA,Y,192,0,WD ,97500
RL,Pave,NA,NAmes,Norm,1Fam,1Story,6,1963,1963,Hip,MetalSd,MetalSd,332.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,1008.0,1008.0,GasA,TA,Y,SBrkr,1008,0,1008,1,2,TA,5,Typ,0,NA,Attchd,RFn,2.0,430.0,TA,TA,Y,0,0,WD ,135000
RL,Pave,NA,NridgHt,Norm,1Fam,1Story,9,2007,2007,Hip,CemntBd,CmentBd,452.0,Ex,TA,PConc,Ex,TA,Av,GLQ,48.0,1774.0,1822.0,GasA,Ex,Y,SBrkr,1828,0,1828,2,3,Gd,9,Typ,1,Gd,Attchd,Unf,3.0,774.0,TA,TA,Y,0,108,New,314813
C (all),Pave,NA,IDOTRR,Feedr,1Fam,1.5Fin,3,1915,1982,Hip,Plywood,Plywood,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,0.0,1013.0,1013.0,GasA,TA,N,SBrkr,1013,0,1526,1,2,Fa,6,Typ,0,NA,NA,NA,0.0,0.0,NA,NA,N,0,0,ConLD,85000
RM,Pave,NA,BrkSide,Norm,1Fam,1.5Fin,6,1937,2000,Gable,MetalSd,MetalSd,0.0,Gd,TA,BrkTil,TA,TA,No,Unf,0.0,698.0,698.0,GasA,TA,Y,SBrkr,786,390,1176,1,2,TA,4,Typ,0,NA,Detchd,Unf,2.0,624.0,TA,TA,N,210,0,WD ,134900
RL,Pave,NA,Edwards,Norm,1Fam,1Story,5,1955,1999,Hip,MetalSd,MetalSd,164.0,TA,TA,CBlock,TA,TA,Mn,Unf,0.0,1057.0,1057.0,GasA,Gd,Y,SBrkr,1057,0,1057,1,3,Gd,6,Typ,0,NA,Attchd,Unf,1.0,288.0,TA,TA,Y,0,0,WD ,137000
RL,Pave,NA,NoRidge,Norm,1Fam,1Story,8,1995,1995,Hip,MetalSd,MetalSd,660.0,Gd,Gd,PConc,Gd,TA,Gd,GLQ,1696.0,413.0,2109.0,GasA,Ex,Y,SBrkr,2113,0,2113,2,2,Gd,7,Typ,1,TA,Attchd,Fin,3.0,839.0,TA,TA,Y,236,46,WD ,350000
RL,Pave,NA,NAmes,Norm,1Fam,1Story,5,1967,1975,Hip,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,Mn,ALQ,373.0,462.0,943.0,GasA,TA,Y,SBrkr,1387,0,1387,1,3,TA,6,Typ,1,TA,Attchd,RFn,1.0,300.0,TA,TA,Y,0,0,WD ,145000
RL,Pave,NA,NridgHt,Norm,1Fam,2Story,9,2005,2006,Gable,MetalSd,MetalSd,365.0,Gd,TA,PConc,Ex,TA,Gd,Unf,0.0,1704.0,1704.0,GasA,Ex,Y,SBrkr,1722,1036,2758,2,4,Ex,9,Typ,1,Ex,BuiltIn,Fin,3.0,814.0,TA,TA,Y,282,55,WD ,418000
RM,Pave,NA,OldTown,Norm,1Fam,1Story,3,1920,1950,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,798.0,798.0,GasA,Gd,Y,SBrkr,840,0,840,1,2,Fa,5,Typ,0,NA,Detchd,Unf,1.0,250.0,TA,Fa,N,112,0,WD ,64000
RH,Pave,Pave,SWISU,Norm,1Fam,1.5Fin,5,1932,2000,Gable,VinylSd,Stucco,0.0,TA,TA,BrkTil,TA,TA,No,Rec,182.0,611.0,793.0,GasA,Ex,Y,SBrkr,848,672,1520,1,3,TA,6,Typ,0,NA,Detchd,Unf,1.0,281.0,TA,TA,Y,0,0,WD ,159434
